title,companyname,joblink,location,date_posted,state,shortregion,city,jobtype,jobdescription,jobid,salaryrange,salarytype,email,contact_name,source_name,company_logo,experience,workpermit,skills
Oracle HCM Cloud Lead,Aarna Technologies LLC,https://www.linkedin.com/jobs/view/oracle-hcm-cloud-lead-at-aarna-technologies-llc-4032955843?position=15&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=Vc8Y7Ut%2Bc9btwdRjW0p5cQ%3D%3D,United States,2024-09-24,United States (Remote),,,Contract,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p><strong>Position : Oracle HCM Cloud Lead (Payroll Subject Matter Expert)</strong></p><p><strong>Location : Remote </strong></p><p><strong>Job Description : </strong></p><ul><li>Support Oracle HCM Cloud Payroll solutions, ensuring alignment with business requirements.</li><li>Provide hands-on expertise in payroll configuration, including earnings, deductions, taxes, and retroactive payments.</li><li>Experience on payroll integrations with finance systems and third-party vendors.</li><li>Collaborate with cross-functional teams to ensure successful payroll data migration, testing, and go-live support.</li><li>Provide post-implementation support, troubleshooting, and ongoing system optimizations.</li><li>Serve as a trusted advisor to stakeholders, offering guidance on best practices in payroll operations and configurations.</li><li>Ensure compliance with legal and regulatory payroll requirements.</li></ul><p><strong>Qualifications:</strong></p><ul><li>8+ years of experience as a Payroll SME with hands-on implementation and configuration experience in Oracle HCM Cloud.</li><li>Expertise in payroll integrations with finance systems and third-party applications.</li><li>Proven experience in Higher Education environments is a strong plus.</li><li>In-depth knowledge of payroll processes, tax regulations, and compliance requirements.</li><li>Excellent analytical and problem-solving skills, with the ability to work independently and in a team environment.</li><li>Strong communication and interpersonal skills for effectively collaborating with internal teams and external vendors.</li></ul><p><strong>Preferred Skills:</strong></p><ul><li>Experience with Oracle Cloud Finance and related modules.</li><li>Familiarity with higher education payroll structures and specific regulatory requirements.</li><li>Proficiency in data migration, payroll reporting, and troubleshooting within Oracle HCM Cloud.</li></ul><p><br/></p><p><strong>Thanks and Regards,</strong></p><p><strong>Sushil. N |IT Recruiter| </strong><strong><u>Aarna Technologies LLC</u></strong></p><p><strong>Contact</strong><span>: +1 614-756-0911 </span></p><p><span>555 Metro Place North, Suite 100 Dublin, OH 43017</span><span> | </span><span>8751 Collin-McKinney Pkwy, #1302, McKinney, TX 75070</span></p><p><span>Email Id: </span>sushilsingh.n@aarnatechno.com</p>
</div>",4032955843,,,sushilsingh.n@aarnatechno.com,,linkedin,company_logo,,,
Senior Financial Analyst,"Aavalar Consulting, Inc",https://www.linkedin.com/jobs/view/senior-financial-analyst-at-aavalar-consulting-inc-4032971992?position=18&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=9LCgHPW0nZeOKyISohsF1Q%3D%3D,"Charlotte, NC",2024-09-24,North Carolina,NC,Charlotte,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p><strong><u>Financial Analyst --- (Oracle Cloud EPM)</u></strong></p><p><strong><u>Full-time employment</u></strong></p><p>Spruce InfoTech is assisting our client with their search for an Oracle EPM Analyst in Charlotte, NC. The Analyst will be responsible for the on-going support of the client's Oracle Cloud Enterprise Performance Management (EPM) applications, including EPBCS, FCCS, ARCS, EDMCS, and Narrative Reporting. This position on the Finance Transformation team works closely with the FP&amp;A and Controllership teams to ensure accurate reporting and partner with IT on system solutions. A deep understanding of the planning, forecasting and reporting processes both conceptually and within the Oracle Cloud tools is required. This role requires a solid understanding of the metadata requirements across these applications, as well as dependencies with ERP.</p><p><strong> </strong></p><p><strong>Responsibilities</strong></p><ul><li>Responsible for the on-going support of the Oracle Cloud EPM suite: Planning (EPBCS), Financial Consolidation and Close (FCCS), Account Reconciliation (ARCS), Enterprise Data Management (EDMCS), and Narrative Reporting (EPRCS)</li><li>Use Oracle AI and BI tools to develop and publish reports, dashboards, and other analytical tools to assist various business functions in decision support and measurement</li><li>Understand/formalize dependencies and interrelationships between components of Oracle EPM Cloud in mapping and configuration documents</li><li>Lead Oracle EPM monthly upgrade testing, review, and adoption of new cloud features</li><li>Collaborate with the FP&amp;A and Controllership teams to facilitate the Planning, Forecasting, Consolidation, and Reporting process for the organization.</li><li>Partner with Financial Transformation Team to identify opportunities to enhance the process and system, with the ability to effectively communicate ideas to the team</li><li>Provide alternatives and recommendations based on best practices and application functionality</li><li>Keep abreast of Oracle EPM roadmap and key functionality to identify opportunities where it will enhance the current process within the entire Financials ecosystem</li></ul><p> </p><p><em>Qualifications: Required</em></p><ul><li>2+ years of experience implementing and supporting Oracle Cloud EPBCS, FCCS, ARCS, EDMCS, and Narrative Reporting</li><li>2+ years of experience working in FP&amp;A or Controllership</li><li>Bachelor's Degree (Finance or Accounting degree preferred)</li><li>Familiar with functional aspects of Income Statement, Balance Sheet, and Cash Flow reporting (currency translations, inter-company eliminations, and consolidation accounting under GAAPs)</li><li>Experience in building metadata, designing web forms, conducting data reconciliation, building dashboards, and automating business rules</li><li>Strong problem solving and troubleshooting skills with the ability to exercise judgment</li><li>Proven ability to collaborate with internal clients in an Agile manner</li><li>Experience conducting testing (e.g., system, integration, performance, and user acceptance testing), and preparing deliverable documents (both functional and technical), e.g. designs, test documentation, training materials, and administration/procedural guides</li><li>Excellent Excel skills</li><li>Strong oral and written communication skills</li></ul><p><strong> </strong></p><p><em>Qualifications: Preferred</em></p><ul><li>Working knowledge of EPM Automate, including the ability to build scripts to automate various data admin activities</li><li>Experience with integrating EPM with Oracle Cloud ERP</li><li>Process Mapping: Skills to visually describe using flowcharts the detailed flow of a process.</li><li>Data Interpretation: Skills to correctly extract, analyze and intuit meaningful information or data from the various data sources such as structured and unstructured dataset, charts, tables, graphs, etc.</li></ul><li><br/></li>
</div>",4032971992,,,,,linkedin,company_logo,,,
Senior Consultant - Oracle Field Service Cloud (OFSC),Peritus - A Colina Tech Group,https://www.linkedin.com/jobs/view/senior-consultant-oracle-field-service-cloud-ofsc-at-peritus-a-colina-tech-group-4032977178?position=20&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=YHWLItd63UO5TXtqOeTQKQ%3D%3D,United States,2024-09-24,United States (Remote),,,Contract,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p>We are open for Technical , Functional, Support in Oracle Field Service cloud roles</p><ul><li><br/></li><li>Oracle Field Service Cloud SaaS application Functional /Technical/Support Consultant</li><li> Good functional experience in Field Service planning, Fulfilment and Field Service Management with hands-on experience of at least 5-7 years</li><li> Experience on Cloud integrations with on premise applications and other cloud applications will be an added advantage.</li><li> Consultant should have good communication skills for direct interactions with client key super users</li><li> Consultant should possess good troubleshooting skills and have worked atleast on 2 support projects</li><li> Candidate should be ready to work in shifts Skills:- Customer Relationship Management (CRM), Oracle field services, toa, oracle crm, oracle cx and oracle services</li></ul><p><br/></p>
</div>",4032977178,,,,,linkedin,company_logo,,,
Oracle Technical Consultant,Jobs via Dice,https://www.linkedin.com/jobs/view/oracle-technical-consultant-at-jobs-via-dice-4032972304?position=24&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=nARrla0CvKd1Bpt99ZrT9A%3D%3D,United States,2024-09-24,United States (Remote),,,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
          Industry : Financial Services; FS - Investment Management<br/><br/>Description:<br/><br/><ul><li> Should have hands-on experience developing OAF pages in R12</li><li> Should possess ability to design technical design documents</li><li> Should have basic knowledge on core Java<br/><br/></li></ul>Oracle Technical Consultant
        </div>",4032972304,,,,,linkedin,company_logo,,,
Oracle Apex Developer | Local to Texas only,"Anveta, Inc",https://www.linkedin.com/jobs/view/oracle-apex-developer-local-to-texas-only-at-anveta-inc-4032964823?position=28&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=YSKWTmErgGLc1qPWTpozIg%3D%3D,United States,2024-09-24,United States (Remote),,,Contract,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p><strong>Oracle APEX Developer Certified Expert</strong></p><p><strong>Oracle PL/SQL Developer Certified Associate</strong></p><p><strong> </strong></p><p><strong> </strong></p><p><strong>Job Description:</strong></p><p>Looking for 10years of Oracle Apex Developer with Oracle PL/ SQL.</p><p>The Developer will need to develop a custom APEX application, ensuring that specified business needs are met. </p><p>The Developer will need to write and optimize SQL and PL/SQL scripts to support application functionality and ensure efficient and secure data handling.</p><p>Additionally, the Developer will be responsible for integrating daily uploads from current systems into the APEX application, ensuring seamless data synchronization and accessibility</p><p>Should have 8 years of experience on Web Technologies: Basic to intermediate knowledge of JavaScript, HTML, and CSS for front-end development.</p><p>Should have 3 years of experience on     Oracle APEX: Proficiency in Oracle Application Express (APEX) for developing web applications.</p><p>Should have 3 years of experience on Oracle SQL and PL/SQL: Strong knowledge of Oracle SQL for data modeling and PL/SQL for backend programming.</p><p>Should have 3 years of experience on Database Management: Experience with Oracle Database management and optimization.</p><p>Should have 3 years of experience on APEX Plugins: Familiarity with using and integrating APEX plugins to extend application functionality.</p>
</div>",4032964823,,,,,linkedin,company_logo,,,
Financial Controller,Global Recruiters of Bentonville (GRN),https://www.linkedin.com/jobs/view/financial-controller-at-global-recruiters-of-bentonville-grn-4032969175?position=31&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=owEyGz6JYGckaE2p0SRBSw%3D%3D,"Torrance, CA",2024-09-24,California,CA,Torrance,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p>This position supports the $1B aerospace manufacturing division of a multi-billion-dollar public company (NYSE). Plant Controller or Assistant Controller and Accounting Management or Cost Accounting experience required. Experience in a manufacturing environment required.</p><p>Reporting to the Division Vice President of Finance, the Director provides financial consulting and strategic support to senior management. This position also provides tactical day to day support to the accounting teams at 11 production sites.</p><p>• Bachelor’s degree in accounting or finance</p><p>• CPA or Masters degree preferred</p><p>• Experience: <strong>Minimum 7+ years</strong> within a <strong>manufacturing environment</strong>; 3-5 years of leadership / management experience; <strong>public company experience</strong>; M&amp;A experience preferred</p><p>• Understanding of US <strong>GAAP and SOX 404</strong> requirements</p><p>• Proficient with MS Office Suite, notably Excel (including pivot tables) and PowerPoint; working knowledge of ERP platforms (<strong>SAP, Oracle, Business Central</strong>); proficient with financial consolidation reporting tools (<strong>HFM</strong>) and data analytics tools (<strong>Power BI</strong>)</p><p>• Skills: Excellent communication across all levels of the organization (Business Units, Division, Corporate); ability to present confidently to Executive and/or Senior Divisional Leadership Team; ability to meet strict deadlines and work independently.</p><p>• Travel: 10%-20%; business unit site visits, operational reviews, integration sessions</p><p></p>
</div>",4032969175,180000.0 - 200000.0,yearly,,,linkedin,company_logo,,,
OFSAA Consultant,Compunnel Inc.,https://www.linkedin.com/jobs/view/ofsaa-consultant-at-compunnel-inc-4034314647?position=32&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=yZmNLSA8E%2Fgbs0YbGO3vtQ%3D%3D,"Columbus, Ohio Metropolitan Area",2024-09-24,Ohio Metropolitan Area,,Columbus,Contract,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p><strong>About the Company:</strong></p><p>Huntington Bank is a financial institution located in Columbus, OH, committed to providing excellent banking services.</p><p><br/></p><p><strong>About the Role:</strong></p><p>The role requires 2-5 years of experience working with OFSAA, strong communication skills, and a deep understanding of Oracle and finance principles.</p><p><br/></p><p><strong>Responsibilities:</strong></p><ul><li>Translate detailed business requirements into design specifications</li><li>Design and develop application configurations using PL/SQL and Erwin Data Modeling</li><li>Support regulatory reports and schedules</li><li>Experience with analytical platforms and BI tools</li><li>Knowledge of regulatory rules and database structures</li></ul><p><br/></p><p><strong>Qualifications:</strong></p><p>2-5 years of experience working with OFSAA</p><p><br/></p><p><strong>Required Skills:</strong></p><ul><li>Strong knowledge of OFSAA suite of products</li><li>Strong XML and Oracle skills</li><li>Strong understanding of Finance and Accounting principles</li></ul><p><br/></p><p><strong>Preferred Skills:</strong></p><ul><li>Experience with Adenza (formerly AxiomSL)</li><li>Knowledge of regulatory rules, including LCR, NSFR, Enhanced Prudential Standards/Reg YY</li><li>Experience with database structures, data management, and visualization applications</li></ul><p><br/></p><p><strong>Pay range and compensation package:</strong></p><p>Salary will be commensurate with experience and qualifications.</p><p><br/></p><p><strong>Equal Opportunity Statement:</strong></p><p>We are committed to diversity and inclusivity in our workplace.</p><p></p>
</div>",4034314647,,,,,linkedin,company_logo,,,
Oracle PL/SQL Developer,Jobs via Dice,https://www.linkedin.com/jobs/view/oracle-pl-sql-developer-at-jobs-via-dice-4032970636?position=36&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=7HYYgEsSNGBCTYvUMV2w8Q%3D%3D,"Jersey City, NJ",2024-09-24,New Jersey,NJ,Jersey City,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
          One of our Direct Banking Client looking for Oracle Plsql Developer W / Python Exp<br/><br/><strong>JOB DETAILS<br/><br/></strong>Title: Oracle Plsql Developer W / Python Exp<br/><br/>Location: Jersey City, NJ ( Weekly 3 day onsite )<br/><br/>Duration : 18 months<br/><br/><strong>NOTE : In Person Interview Required.<br/><br/></strong><strong>Industry:</strong> Banking<br/><br/>Please email me at to speak in detail about the job.<br/><br/><strong>Top Skills :</strong> Oracle Plsql Developer, Oracle Developer, Plsql Developer, Oracle, Plsql, query optimization, procedures, functions, triggers, Python, Python script, Toad,<br/><br/><strong>Job Description<br/><br/></strong><strong>Day To Day Responsbilities:<br/><br/></strong><ul><li>Design, develop, and maintain databases using SQL, PL/SQL, Java, and Python.</li><li>Integrate databases with Java applications, automate tasks with Python, </li><li>Optimize performance, troubleshoot issues and collaborate with teams to deliver solutions. <br/><br/></li></ul><strong>Must Have :<br/><br/></strong><ul><li>Strong foundation in SQL and PL/SQL: Proficiency in SQL for data manipulation and query optimization, and PL/SQL for creating stored procedures, functions, and triggers.</li><li>Expertise in Java: Deep understanding of Java programming concepts, object-oriented programming, and JDBC for database connectivity.</li><li>Proficiency in Python: Knowledge of Python scripting for automation, data analysis, and integration with Oracle databases.</li><li>Oracle database administration: Familiarity with database administration tasks, including backup and recovery, user management, and performance tuning.</li><li>Oracle tools and utilities: Experience with tools like SQL Developer, Toad, or SQL*Plus for database development and management.</li><li>Problem-solving and analytical skills: Ability to diagnose and resolve complex database issues.</li><li>Communication and collaboration: Effective communication skills to work with teams and understand business requirements.</li><li>Continuous learning: Willingness to stay updated with the latest Oracle technologies and best practices.<br/><br/></li></ul><strong>Nice To Have:<br/><br/></strong><ul><li>Expertise in Java: Deep understanding of Java programming concepts, object-oriented programming, and JDBC for database connectivity.<br/><br/></li></ul>Oracle PL/SQL Developer
        </div>",4032970636,,,,,linkedin,company_logo,,,
Epic Client Systems Architect,InstantServe LLC,https://www.linkedin.com/jobs/view/epic-client-systems-architect-at-instantserve-llc-4032973893?position=37&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=3v1xdws2zf0YzYcmU4AkeA%3D%3D,United States,2024-09-24,United States (Remote),,,Contract,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p><strong>Job Title: EHR Architect</strong></p><p><strong>Location: Remote</strong></p><p><strong>Pay Rate: $70-$80/hr all inclusive</strong></p><p><strong>Type: Full-Time</strong></p><p><strong> </strong></p><p><strong>Description:</strong></p><p>An EHR Architect is needed to be a part of the Applications Technology Team and will be responsibility for establishing and managing the long and short-term application strategy, processes and procedures for applications and associated infrastructure.</p><p>The Architect is a member of the Applications Technology Team and has direct responsibility for establishing and managing the long- and short-term application strategy, processes and procedures for applications and associated infrastructure. Application portfolio includes several clinical, administrative, business, and financial applications, internet and intranet systems. The Architect participates in the application design and implementation, analyzes application activities, makes recommendations for improvement, translates organizational business and clinical needs to technology requirements and proposes appropriate technologies and services to enable the enterprise to meet strategic and tactical objectives. The right candidate will have knowledge of enterprise server, storage, backup, power, virtualization software and networking, end user devices as well as operating systems and applications commonly deployed in Enterprise Data Centers or in the Cloud. The Architect works as a liaison to team members on product/application issues and provides expert system knowledge. The role also includes mentoring and coaching of team members regarding technical and system integration.</p><p> </p><p><strong>Essential Functions </strong></p><p>Aligns business/clinical needs and technology requirements. </p><p>Analyze and resolve technical issues. </p><p>Assist business owners and customers with delivered solutions, processes and tools. </p><p>Assures architectural compliance technical accuracy as technologies are enabled. </p><p>Builds and leverages relationship with key technology partners/vendors. </p><p>Define interfaces and integrate system components within current infrastructure. </p><p>Develops application and associated infrastructure architectures, collaborates with the service providers to ensure their proper implementation. </p><p>Install/upgrade, configure, maintain and support various interoperable and third-party products and technologies. </p><p>Establish baseline, ensure completeness of documentation. </p><p>Facilitate and participate in end-to-end testing, debugging and defect resolution for ongoing infrastructure and application technology projects. </p><p>Participate in business case development, project sizing, design and implementation of enterprise wide total system and technical solutions. </p><p>Represents the liaison between infrastructure technology domains and the information and application layers. </p><p>Responsible for deployment and technical accuracy of integrated application modernization system designs. </p><p>Responsible for implementation of applications migration from legacy systems to modern systems using interoperability tools. </p><p>Responsible for resolution of issues, production support of application and infrastructure technology services. </p><p>Work on continuous application and technology improvement initiatives. </p><p>Write custom code and scripts to provide custom system solutions towards automation, reporting and workaround for unsupported product functionalities. </p><p> </p><p><strong>Minimum Qualifications </strong></p><p>Experience: Five (5) years of progressively responsible and directly related work experience. </p><p>Additional Information: Epic Client Systems Administrator (ECSA) experience is highly preferred. </p><p> </p><p><strong>Knowledge, Skills, &amp; Abilities</strong> </p><p>Ability to apply Information Technology in a healthcare setting. </p><p>Ability to be user-focused, build relationships and communicate effectively at all levels of the organization. </p><p>Ability to collaborate with multiple service providers and vendors. </p><p>Ability to demonstrate initiative, good judgment and effective decision-making; exhibit strong process improvement orientation and have the ability to achieve results through other programs and individuals. </p><p>Ability to develop business cases for new technology solutions. </p><p>Ability to manage projects. </p><p>Ability to conduct and participate in end-to-end application and infrastructure quality testing for ongoing projects by utilizing approved products and solutions. </p><p>Ability to plan strategically both long-term and short-term. </p><p>Assists in assessing, debugging and troubleshooting complex IT infrastructure and application issues. </p><p>Experience with public and private cloud services (i.e., VMware, AWS, Azure, etc.). </p><p>Expertise with using various products and techniques for technology and application modernization, re-hosting, and migration from legacy systems to modern open systems (Windows, UNIX, and Linux) or Cloud based platforms. </p><p>Experience with Automation and relevant tooling by means of writing custom code and scripts using Java Script, Shell, Perl, VB Script. Tools-first mindset. </p><p>Experience in data conversion and migration by applying data structure techniques on different file systems, and relational database management systems (e.g. SQL Server, Oracle, MySQL, etc.). </p><p>Familiarity with prevalent storage technologies (SAN, NAS) &amp; understanding of service-oriented architectures. </p><p>Knowledge of Enterprise Architecture methodology and best practices. </p><p>Knowledge of open-source technologies. </p><p>Knowledge of user authentication methods, security solutions and security best practices. </p><p>Knowledge of Clinical and Business Applications, e.g. Epic, Hyland OnBase, PACS, Rhapsody, NurseCall, IntelliViu, Connexall, Citrix, Service Now, Box, Tableau, etc. is preferred.</p><p>Possess breadth of knowledge across the following Infrastructure Technology domains: compute, storage, virtualization, networking, end user device form factors (e.g. workstations, mobile devices).</p><p>Process-oriented work structure and able to work on projects using both agile and traditional ITIL project management methodology.</p><p>Proficiency in gathering data and creating reports by writing complex SQL queries, procedures and creating custom dashboards using BI tools (Tableau, Business Objects) and advance Excel techniques. </p><p>Experience with cloud native tools like CloudFormation, Terraform, ELB, Autoscaling, and EC2 </p><p>Good understanding of VPCs, Subnet configuration, route table, internet gateway, VPC peering, Transit gateway, VPC Link</p><p>Knowledge of CI/CD (Jenkins, TravisCI, CircleCI, AppVeyor, etc) is required</p><p>Working experience with one of more automation tools and repository such as Ansible, Puppet, Terraform, CHEF, TeamCity, Artifactory, SVN, Bitbucket</p><p><br/></p>
</div>",4032973893,70.0 - 80.0,hourly,,,linkedin,company_logo,,,
Oracle Fusion Developer,Jobs via Dice,https://www.linkedin.com/jobs/view/oracle-fusion-developer-at-jobs-via-dice-4032970705?position=47&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=z4RAtn0%2BxXbuAdo%2FjwpZCw%3D%3D,"Costa Mesa, CA",2024-09-24,California,CA,Costa Mesa,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
          Role: Oracle Fusion Developer<br/><br/>Location: Costa Mesa, CA (Remote, Locals Preferred)<br/><br/>Local Candidates<br/><br/><strong>Client: State of CA<br/><br/></strong>Duration: 12 months<br/><br/><strong>Job Summary:<br/><br/></strong><ul><li>In-depth knowledge of Oracle Fusion Applications, Oracle Fusion Middleware and Oracle Cloud Infrastructure.</li><li>Proficiency in Java, Oracle ADF, Oracle SOA, Oracle BPM, and Oracle PL/SQL.</li><li>Experience with Agile methodologies and version control systems like Git.</li><li>Requirements:</li><li>Bachelor's degree in Computer Science, Information Technology, or related field.</li><li>3+ years of Oracle Fusion development experience, specifically with Oracle Fusion Middleware, Oracle Fusion Applications, or Oracle Cloud Infrastructure.</li><li>Preferred: Oracle Certified Professional (OCP) or Oracle Certified Master (OCM) in Oracle Fusion Middleware or Oracle Fusion Applications.</li><li>Strong analytical, problem-solving, and collaboration skills.</li><li>Master's degree in a related field.</li><li>Experience with cloud development, DevOps, and CI/CD pipelines.</li><li>Knowledge of additional programming languages like Python or C#.</li><li>Agile development certifications (Scrum, Kanban).</li><li>Development experience in a manufacturing focused ERP with robust WMS/MES modules.<br/><br/></li></ul>Thanks &amp; Regards,<br/><br/><strong>Manikanth Dhamolu<br/><br/></strong><strong>US IT Technical Recruiter,<br/><br/></strong><strong>Email: Ph: : Ext:115<br/><br/></strong>LinkedIn: ;/b&gt;<br/><br/>Kaav Inc.
        </div>",4032970705,,,,,linkedin,company_logo,,,
MuleSoft Application Developer,Stefanini North America and APAC,https://www.linkedin.com/jobs/view/mulesoft-application-developer-at-stefanini-north-america-and-apac-4027548953?position=52&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=qFDjJE6oqFlCF9%2BdhqF25A%3D%3D,"San Francisco, CA",2024-09-24,California,CA,San Francisco,Contract,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p><strong>Stefanini Group is hiring!</strong></p><p><strong>Stefanini is looking for MuleSoft Application Developer for Salt Lake City, UT/San Francisco, CA/Hybrid</strong></p><p><strong>For quick Apply, please reach out to Ayush Dwivedi- call: (248) 728-2636/ email: </strong>Ayush.Dwivedi@stefanini.com</p><p><br/></p><p><br/></p><p><strong>Open for W2 Candidates only! Need US Citizen only.</strong></p><p><br/></p><p><br/></p><p><strong>Work Location: 1st Preference is Salt Lake City, UT and Next is San Francisco, CA/Hybrid.</strong></p><p><br/></p><p><br/></p><p><strong>Responsibilities:</strong></p><ul><li>You will develop and maintain API's for multiple lines of business within an efficient Agile SDLC and act as an advocate for the API Management platform.</li><li>You will work cross-functionally with Architects, Engineers, Business Analysts, and Service Managers across multiple teams in a rapidly evolving environment.</li><li>You will partner with and enable business app developers to evangelize the use of SOA best practices by focusing on scalability, maintainability, and reuse.</li><li>The high-level goal of this position is to accelerate customer adoption and increase customer engagement of the API Management Platform.</li><li>To be successful in this role, you must have stellar leadership and communication skills, with an excellent software development background in SOA environments developing services and thrive working cross functionally with several teams.</li><li>You will need to learn complex businesses very quickly and manage competing business priorities.</li><li>This is a great opportunity to showcase and enhance your Microservices and API development skills and simultaneously gain intimate knowledge of Client's products and services.</li></ul><p><br/></p><p><strong>Qualifications:</strong></p><ul><li>Focus is on familiarity with MuleSoft, AWS API Gateways, and API Security (oauth, oidc, mTLS).</li><li>A minimum of 5 years' experience programming, analysis, design, development implementation, quality assurance and applications support.</li><li>Practical experience and knowledge of Service Oriented Architecture, Microservices, and API Gateways, with at least one of the following technologies: 3Scale, Mulesoft, Apigee Edge, CA Technologies, Tibco Mashery, Axway, and IBM Gateway.</li><li>Proven experience in working collaboratively, coordinating among cross-functional teams and the ability to effectively work with organizational differences and priorities; consistently provide a clear and consistent technical vision to advance project goals.</li><li>Excellent communication skills (oral and written) and analytical skills; strong and demonstrated interpersonal skills to include influence, negotiation, collaboration, and diplomacy.</li><li>Bachelor's degree in Computer Science, Information Systems, or other related field or equivalent work experience.</li></ul><p><br/></p><p><br/></p><p><strong>Preferred Skills:</strong></p><ul><li>Working knowledge of SailPoint IIQ, IBM Tivoli Identity Manager, Oracle Identity Manager, or other Identity Management suites.</li><li>Working knowledge of software development in Event Oriented Architecture using messaging.</li><li>Working knowledge of application integration services like: PaaS, Enterprise Service Bus, Messaging brokers.</li><li>Experience with and/or working knowledge of Client Lines of Business and applications.</li></ul><p><br/></p><p><br/></p><p><br/></p><p>Listed salary ranges may vary based on experience, qualifications, and local market. Also, some positions may include bonuses or other incentives</p><p><br/></p><p><br/></p><p>Stefanini takes pride in hiring top talent and developing relationships with our future employees. Our talent acquisition teams will never make an offer of employment without having a phone conversation with you. Those face-to-face conversations will involve a description of the job for which you have applied. We also speak with you about the process including interviews and job offers.</p><p><br/></p><p><strong> </strong></p><p><strong>About Stefanini Group:</strong></p><p>The Stefanini Group is a global provider of offshore, onshore and near shore outsourcing, IT digital consulting, systems integration, application, and strategic staffing services to Fortune 1000 enterprises around the world. Our presence is in countries like the Americas, Europe, Africa, and Asia, and more than four hundred clients across a broad spectrum of markets, including financial services, manufacturing, telecommunications, chemical services, technology, public sector, and utilities. Stefanini is a CMM level 5, IT consulting company with a global presence. We are CMM Level 5 company</p>
</div>",4027548953,75.0 - 80.0,hourly,Ayush.Dwivedi@stefanini.com,,linkedin,company_logo,,,
Oracle APEX Developer,Jobs via Dice,https://www.linkedin.com/jobs/view/oracle-apex-developer-at-jobs-via-dice-4032971477?position=54&pageNum=0&refId=%2B8sekUtVDOhVSMVMimbe6A%3D%3D&trackingId=fDjqubbG5lIdzAROPDMNbg%3D%3D,"Austin, TX",2024-09-24,Texas,TX,Austin,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
          The Developer is responsible for taking system designs and transforming them into a functional application on the Oracle APEX platform. This involves interpreting system specifications and collaborating with business analysts and stakeholders to ensure a thorough understanding of the requirements.<br/><br/>The Developer will need to develop a custom APEX application, ensuring that specified business needs are met. The Developer will need to write and optimize SQL and PL/SQL scripts to support application functionality and ensure efficient and secure data handling. Additionally, the Developer will be responsible for integrating daily uploads from current systems into the APEX application, ensuring seamless data synchronization and accessibility. The Developer will ensure that the application complies with industry standards, security policies, and best practices, including robust data protection measures.<br/><br/><strong>Skills :<br/><br/></strong><strong>Ii. Candidate Skills And Qualifications<br/><br/></strong>Minimum Requirements:<br/><br/>Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.YearsRequired/PreferredExperience8RequiredWeb Technologies: Basic to intermediate knowledge of JavaScript, HTML, and CSS for front-end development.3RequiredOracle APEX: Proficiency in Oracle Application Express (APEX) for developing web applications.3RequiredOracle SQL and PL/SQL: Strong knowledge of Oracle SQL for data modeling and PL/SQL for backend programming.3RequiredDatabase Management: Experience with Oracle Database management and optimization.3RequiredAPEX Plugins: Familiarity with using and integrating APEX plugins to extend application functionality.<br/><br/>Oracle APEX Developer
        </div>",4032971477,,,,,linkedin,company_logo,,,
